"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"East Asia & Pacific (all income levels)","EAS","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2419952092815.95","2771203348543.37","3170736594643.85","3792559427603.82","3044040200487.07","4049903716878.74","4996402760210.74","5242008429400.45","",
"Europe & Central Asia (developing only)","ECA","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","330407475028.867","407469216901.896","526885805663.254","648911238819.884","438080103347.16","531069667651.796","677465653675.688","673610160150.012","",
"Europe & Central Asia (all income levels)","ECS","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4348794571128.92","5075163028893.91","5998900446292.23","6848933067683.67","5124985013075.9","5890440163441.85","7046613709212.38","6692077796104.58","",
"Ecuador","ECU","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9703350171.68","11401685521.8899","13041130432","17906102793.429","14262445546.9578","19635073726.0752","23236626769.1924","24578659472.334","",
"Egypt, Arab Rep.","EGY","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23818200000","28983500000","39354300000","49607900000","39906900000","45144500000","47311500000","52350400000","",
"Euro area","EMU","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2788305365260.11","3214631282028.61","3775349749520.49","4265213511563.44","3252614126426.89","3655981946748.85","4315100101804.16","4004189694516.43","",
"Eritrea","ERI","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","278093623431.12","321379887028.547","384232597615.174","406259924062.057","283405520029.692","316974881997.64","361789504046.768","323557304426.492","",
"Estonia","EST","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9045851215.67477","11133853990.1033","13491692065.561","14147085805.9361","8694161127.75264","10730459220.8225","15340547960.434","15680877363.346","",
"Ethiopia","ETH","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3700858389.62042","4105569044.59559","5155645100.05337","7206330459.37213","6819049913.98828","7364532216.06256","8328868376.38344","10547290512.2649","",
"European Union","EUU","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3793651367161.69","4403272834314.69","5154607249492.73","5801606147516.53","4367675107126.54","4951905035983.39","5827860993097.2","5474338001603.21","",
"Finland","FIN","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55294541555.9048","64493654429.4207","75812495648.6566","85590685630.1336","57211791100.1454","64674942797.7965","79264981677.7364","72841409021.6244","",
"Fiji","FJI","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1365305895.1375","1555604301.94383","1575550704.30903","1983639431.54843","1245928140.42054","1543204075.3847","","","",
"France","FRA","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","456504546043.953","511597226130.961","590447508263.911","675305412758.827","528852674031.732","579168949808.63","686441025543.307","643425095445.703","",
"Faeroe Islands","FRO","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","678903959.529157","751436163.502956","970728759.687823","942009474.606423","752625065.248309","744694411.642802","949025028.988559","","",
"Micronesia, Fed. Sts.","FSM","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1358849837.1501","","","","","","","","",
"United Kingdom","GBR","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","509044138341.745","588247141011.349","622018393500.954","641596030987.427","484908495001.682","563339990603.735","639797783850.11","646336297786.577","",
"Georgia","GEO","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2631405482.56559","3642934226.70459","4944364569.36814","6224462552.5738","4270445003.92999","5021340414.72999","6722567598.4939","7685207565.51189","",
"Ghana","GHA","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5347309680.58469","6753675315.59101","8066114751.75051","10268499316.0023","8046260000","10922100000","15842660000","17763200000","",
"Guinea","GIN","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","739500000","950640000","1206440000","1364230000","1054510000","1398490000","2097100000","2243980000","",
"Gambia, The","GMB","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","222607885.094772","222215138.215741","279566039.147315","274553148.337108","259958864.704488","245762740.742773","295598014.711722","358842723.114935","",
"Guinea-Bissau","GNB","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105928482.617287","127045814.749569","167903353.463283","198785072.07006","202324806.692855","196566338.432828","","","",
"Equatorial Guinea","GNQ","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51704534765.792","64163501804.8713","80677510328.3193","93758455912.4391","63918836593.4121","59962359080.9169","65838055714.0395","53369157258.2309","",
"Grenada","GRD","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","299962962.962962","297085185.185185","327889434.074073","338763281.481481","262877427.037036","284416522.962962","290393294.444444","297022462.222221","",
"Greenland","GRL","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9650100000","10934400000","12470200000","13421200000","10643100000","12806400000","15482144000","15838097300","",
