"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Sub-Saharan Africa (IFC classification)","CAA","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","-2845168.07135612","6084486.34383565","22757439.7367339","5343631.08528872","5781443.3524549","9153812.42838185","4469041.68570388","5149252.03381976","2991566.43558607","8160415.31776924","11898718.6498225","-3827452.80303765","1285233.01951129","697850.065105836","-4874038.73164914","-10676567.963142","-9980132.2794484","3602275.00892801","6200565.7641","10925575.5036","1497424.0537","7300593.9466","5976946.5274","889074.9126","5183898.8103","5644286.5587","11300000","15100000","10100000","34670000","56750000","117110000","42280000","61520000","36910000","71176400","",
"Canada","CAN","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","1826057131.7251","2273360472.31819","2112292024.20398","3184591220.81785","3723476023.33184","3386185379.81793","2450734869.44934","3371801148.83629","3740150569.46496","5307735854.00285","5813313577.34006","663718071.043154","90047128.3616922","1999495942.22777","4753734373.54672","1356650952.21085","2848502472.23406","8114665360.89843","6071142242.22481","6026740458.25489","7580601938.18178","2874387247.60276","4776794694.12152","4748859062.86054","8223759965.39026","9319143130.32225","9635109106.00339","11522842174.4894","22742494378.7268","24788755778.1258","66144235752.9752","27710977448.3201","22053021959.1405","7206009808.27058","-741286941.100679","25900779625.8444","60293795010","119940183815.186","62162449740","23804168586","28596270781.7424","40131613266.6611","43085229810.7578","",
"East Asia and the Pacific (IFC classification)","CEA","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe and Central Asia (IFC classification)","CEU","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","642643620.490481","777125995.866917","1267334791.67727","2122388474.7415","2320291936.53845","405248411.125538","2497180494.21581","5544796309.51595","2838789160.79243","1128487634.09191","1706937974.44082","3682699144.72734","4158247959.95385","4372941966.48894","7306214202.66138","9649104418.88676","12426006171.6209","19764423499.2678","9392397947.28811","6785448619.62998","17470863633.7902","1856071978.4654","2664910821.00243","53760772986.3035","48688296543","2990936685.10851","47658570354.7326","21260839588.3465","20620791851.3373","2747598577.26532","",
"Channel Islands","CHI","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","50000000","-1000000","21000000","181000000","244000000","213000000","383000000","401000000","135000000","78000000","144300000","315500000","890500000","967900000","1283500000","661200000","822700000","936100000","1034300000","2582100000","2957000000","4814616000","5271400000","4627817978","8761016217.84","4860015667.52","4199763048.85","2549923142.41108","4307418606.85187","7172719415.45125","6983801371","7298382454","12533639353","15149843109","12887480299","15373153486","22930594192.5613","30323047077.995","",
"China","CHN","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","430000000","636000000","1258000000","1659000000","1875000000","2314000000","3194000000","3393000000","3487000000","4366000000","11156000000","27515000000","33787000000","35849200000","40180000000","44237000000","43751000000","38753000000","38399300000","44241000000","49307976629.159","49456847102","62108043001","104108693867","124082035619","156249335203","171534650312","131057052870","243703434558","280072219150","253474944300","",
"Cote d'Ivoire","CIV","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","69057905.4104356","44779149.8938744","14653226.1185723","83312704.4895194","74745567.4063354","94661312.4054689","32752925.4212913","47473229.3493208","37526304.2311013","21741286.3650168","29158869.2754297","70746700.3840575","87510151.1438287","51704186.9884033","18494816.6222357","48114925.5415076","16305875.0295171","-230834501.963191","87900032.7089422","77989253.9432915","211482185.503018","269180619.328979","415303614.48062","380014112.44914","323675947.635538","234701641.053396","272680081.703965","212629136.66552","165347467.486846","282979933.109701","348920761.502346","350652855.7","443215533.1","466489597","396030773.972889","358118909","286110463.5638","478400215.804","",
"Latin America and the Caribbean (IFC classification)","CLA","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle East and North Africa (IFC classification)","CME","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","8710528.85937353","40548470.5361225","62099933.6753264","129827989.964101","135391025.42127","111440362.741803","213821207.604904","17667655.8671505","316229050.225977","-90700157.5127855","115925994.899277","92362479.4838295","-85734446.5454484","-112831336.842375","-14498049.7545054","29203775.7802858","5120733.12285923","-9005687.52232003","7292420.07210034","101315910.027814","78335616.3021632","215105209.392868","-15494743.3000537","158801499.516799","73285099.5982808","601746052.267017","336267884.476188","86122105.3466497","243504753.307842","59069772.85","189330876.4","20910875.62","740307388.935725","537779845.2","652411755.806169","525754619.342192","",
"Congo, Rep.","COG","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","4050415.5267777","16481632.6620511","40032269.0162728","30842951.4557126","35349296.9308788","56079518.980324","34948545.6926496","12689672.804521","22439698.3136535","43448956.4120196","9095236.52932367","-7125213.1608","22551558.2245","32753529.6891","2739032.5359","286054322.0689","2990000","125018925.758043","72579070.6931468","79171534.7572172","32777255.4191937","538212550.239714","165904404.742177","77206039.5929454","331150511.305636","323124395.35931","-8518132.49356931","800996241.640624","1487693084","2638405260","2525652906.9573","1861554556.8907","2210884010.3619","3055952325.4483","2757934448.1291","",
"Colombia","COL","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","42999999.9997559","43128139.9995117","18457070","23842600","40889759.9996338","37068850","25000000","65000000","107000000","127000000","157137699.999756","265000000","366000000","618000000","584000000","1023000000","674000000","319000000","203000000","576000000","500000000","456900000","728700000","959100000","1446497261.33581","968368273.647335","3111676589.81669","5562216361.61769","2828826261.61252","1507907130.44589","2436459923.42856","2541942612.20739","2133698124.14947","1720493455.49814","3015635873.52058","10251967315","6655995311","9486747731","10158358827","7137442110","6753415806.91825","13403488513.2457","15649280563.9888","",
