List Date,Company,Group,Sector,Sub Sector,Country of Incorporation,Market,Ord Shares,Dep Receipts,Fixed Int,Warrants,MarketCapInMillions,International Main Market,FCA Listing Category,
26-Feb-14,SUMMIT GERMANY LTD                 ,8633,Real Estate Investment & Services,Real Estate Holding & Development,GG,AIM,YES,NO,NO,NO,133.717230429619,N,,
16-Mar-01,SUNPLUS TECHNOLOGY CO LTD          ,9576,Technology Hardware & Equipment,Semiconductors,TW,PSM,NO,YES,NO,NO,0,N,Standard,
6-Jun-05,SUNRISE RESOURCES PLC              ,1775,Mining,General Mining,GB,AIM,YES,NO,NO,NO,2.2590268515,N,,
4-Jun-13,SUPERGLASS HLDGS PLC               ,2353,Construction & Materials,Building Materials & Fixtures,GB,AIM,YES,NO,NO,NO,6.25,N,,
24-Mar-10,SUPERGROUP PLC                     ,3763,Personal Goods,Clothing & Accessories,GB,Main Market,YES,NO,NO,NO,671.6134406,N,Premium,
24-Sep-02,SURFACE TRANSFORMS PLC             ,3355,Automobiles & Parts,Auto Parts,GB,AIM,YES,NO,NO,NO,5.812947105,N,,
7-Jul-98,SURGICAL INNOVATIONS GROUP         ,4535,Health Care Equipment & Services,Medical Equipment,GB,AIM,YES,NO,NO,NO,6.107627515,N,,
27-Sep-04,SURGUTNEFTEGAZ                     ,537,Oil & Gas Producers,Integrated Oil & Gas,RU,Main Market,NO,YES,NO,NO,0,Y,,
23-Dec-96,SUTTON HARBOUR HLDGS               ,2777,Industrial Transportation,Transportation Services,GB,AIM,YES,NO,NO,NO,33.21559467,N,,
28-Jul-09,SUZLON ENERGY LTD                  ,7535,Electricity,Electricity,IN,Main Market,NO,YES,NO,NO,0,Y,,
27-Jun-83,SVENSKA CELLULOSA AB-SCA           ,3767,Personal Goods,Personal Products,SE,Main Market,YES,NO,NO,NO,0,Y,,
23-May-96,SVG CAPITAL                        ,8775,General Financial,Specialty Finance,GB,Main Market,YES,NO,NO,NO,997.15798847,N,Premium,
18-Oct-00,SVM UK EMERGING FUND               ,8985,Equity Investment Instruments,Equity Investment Instruments,GB,Main Market,YES,NO,NO,NO,2.792325,N,Premium,
9-May-06,SWALLOWFIELD                       ,3767,Personal Goods,Personal Products,GB,AIM,YES,NO,NO,NO,10.34537064,N,,
24-Sep-01,SWAN(JOHN)& SONS                   ,5377,General Retailers,Specialized Consumer Services,GB,AIM,YES,NO,NO,NO,3.80694375,N,,
31-Oct-07,SWEETT GROUP PLC                   ,2791,Support Services,Business Support Services,GB,AIM,YES,NO,NO,NO,23.694976395,N,,
17-Jun-02,SWP GROUP PLC                      ,2353,Construction & Materials,Building Materials & Fixtures,GB,AIM,YES,NO,NO,NO,19.132425585,N,,
25-Mar-11,SYLVANIA PLATINUM LTD              ,1779,Mining,Platinum & Precious Metals,BM,AIM,YES,NO,NO,NO,22.575885375,N,,
