"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Cape Verde","CPV","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77139149.0593433","85824822.7160618","69677530.016014","102879317.449538","80468257.2585767","122743262.616938","196522048.348071","173121534.845912","",
"Costa Rica","CRI","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3088762417.18702","3415833237.6629","3860368700.65273","4370863803.53466","3982666984.9302","4457116355.41747","4932336664.14593","5313955051.5978","",
"South Asia (IFC classification)","CSA","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14975079801.9595","19921435852.4825","19701228329.3792","26283114732.8598","14641481581.4404","17606941568.1819","22591279865.8305","","",
"Cuba","CUB","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2045509062.53049","1979079470.80635","1986346132.50098","2206509104.06308","2024718173.74018","2281938723.18562","2748167066.84785","2602258620.10774","",
"Czech Republic","CZE","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64535401281.1617","78384853458.7911","98787404117.0265","116322068940.349","93252406995.5052","108282443124.569","129414598718.35","125179422032.438","",
"Germany","DEU","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","931639350753.119","1080543230728.65","1300213823208.18","1446497284706.57","1121666177218.62","1282470999595.36","1515931937561.99","1460123663711.57","",
"Djibouti","DJI","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39500115.3493397","55170745.1567343","53116964.2304511","63751610.6706579","71764169.681692","78662622.8751807","84964635.5804885","111359940.581022","",
"Dominica","DMA","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42909028.8888889","44259658.148148","39018382.5925925","43885135.1851852","36815298.8888889","34530507.4074074","32622581.4814815","40617791.8518519","",
"Denmark","DNK","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82485529565.4062","90732356244.0074","100882254511.177","115136966927.037","91108109867.8939","94865886915.8088","110609863556.035","104874331055.547","",
"Dominican Republic","DOM","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1395100000","1931400000","2635100000","2393400000","1689300000","2536100000","3678000000","4091400000","",
"Algeria","DZA","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46333999999.9979","54740000000.0024","60591000000","78590000000","45186000000.0019","57090000000","72779523483.567","71558167892.0762","",
"East Asia & Pacific (developing only)","EAP","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086192605866.25","1336800400282.51","1649181079228.75","1954887396237.47","1644633204582.82","2152814602762.05","2611878218320.49","2806892220118.73","",
"East Asia & Pacific (all income levels)","EAS","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2801966399097.63","3260861945147.18","3791513240609.04","4337491545428.29","3549629167523.62","4641914367903.24","5457084053329.61","5648050343425.67","",
"Europe & Central Asia (developing only)","ECA","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","269740191363.018","331983104531.18","427617141604.923","545739678019.942","391386425640.06","470146444807.452","599036252492.457","612197614599.241","",
"Europe & Central Asia (all income levels)","ECS","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4464812644359.98","5137550158125.06","6033177626921.35","6881331858386.73","5246484492895.96","6015548632030.82","7192208074518.88","6994103534823.2","",
"Ecuador","ECU","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10461690880.6727","13170091670.2451","14864155481.6262","19454767463.4224","14406025923.6318","18131092037.8198","23076323024.1758","24647608776.6025","",
"Egypt, Arab Rep.","EGY","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16073200000","20545600000","24454600000","29849000000","23089300000","25024200000","27913400000","26834500000","",
"Euro area","EMU","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2907015305302.24","3288059952573.49","3905599978938.94","4317888715948.18","3364020475210.53","3755740822133.85","4401240456290.75","4220449669755.45","",
"Eritrea","ERI","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","193283834737.485","216014068960.136","258400836962.316","278963444969.354","225525783060.3","253697036810.506","303348807276.581","291619737109.987","",
"Estonia","EST","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7160204120.5267","8308261507.69429","9926326331.12199","11340870200.24","7755773096.22624","10242916329.954","14596112329.9664","14479525678.1247","",
"Ethiopia","ETH","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","917349757.398931","1055546060.46229","1350794630.05576","1718581217.45734","1694678620.95028","2479500107.65785","3029022039.36195","3257974058.93416","",
"European Union","EUU","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3775273331587.14","4310844162644.24","5048782481540.49","5605334491066.43","4346245295643.28","4895501121431.07","5747791427040.1","5522793710629.06","",
"Finland","FIN","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70074691256.1701","81823041347.6103","98194131161.5989","104808910509.724","69941349066.798","75064564626.3746","82756347791.8513","76452764606.1376","",
"Fiji","FJI","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","588189499.806596","569304771.145599","634910589.36781","801463169.723134","565553621.668429","770618486.075654","","","",
"France","FRA","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","436830127215.281","482109863551.763","542890622848.124","600592062423.461","478933415366.653","515836758941.929","592921206939.772","567351642673.831","",
"Faeroe Islands","FRO","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","603271415.632383","650545533.590401","745177953.882627","852401883.154791","765685711.243353","835113982.834509","1005991137.53082","","",
"Micronesia, Fed. Sts.","FSM","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5456881214.66911","","","","","","","","",
"United Kingdom","GBR","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","384318117569.242","447589031039.062","442278600560.323","468139313284.797","356350392513.875","410890647905.236","479149107200.062","474615792772.023","",
"Georgia","GEO","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1413899872.70631","1586400630.63753","2055612535.71651","2387584323.32014","1853711315.51655","2393250864.68949","3222953096.72677","3459098760.36093","",
"Ghana","GHA","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2802195812.49545","3726674819.51183","4172139004.47646","5269730512.96","5839700000","7960080000","12785410000","13543400000","",
"Guinea","GIN","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","842810000","1032580000","1203200000","1342010000","1049720000","1471170000","1428350000","1927590000","",
"Gambia, The","GMB","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104324892.12762","108864032.55216","134326682.929104","205501524.200095","174206723.228718","139924084.96676","162140062.963292","182460751.662292","",
"Guinea-Bissau","GNB","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89618682.4582104","74139860.9142802","107035375.418772","128129358.214316","121642667.575488","126595818.640933","","","",
"Equatorial Guinea","GNQ","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17468864749.7966","20130051075.9108","23751941163.3597","28865690787.2742","21062182623.9632","22410343353.604","27954406835.4063","28088069155.1585","",
"Grenada","GRD","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32865137.037037","32285492.5925926","40732086.6666667","40466671.8518517","35292697.4074074","31126358.5185185","34949094.074074","40472594.074074","",
"Greenland","GRL","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5459500000","6082100000","6983200000","7846400000","7294900000","8535700000","10518668000","10107045000","",
"Guam","GUM","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","545631000","579602000","689262000","801519876.899999","768183772.6","871193606.269631","1129076608.52","1395749021.14","",
"High income","HIC","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7762725530182.78","8842804941929.89","10102249389582","11418519708115.2","8805439122097.96","10525701052403.3","12455386934158.6","12361946774818.4","",
"Hong Kong SAR, China","HKG","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","274879448874.468","303914019681.888","330035509993.039","354231083007.679","316630769592.679","388900875385.45","437661329069.817","466052551841.968","",
"Honduras","HND","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1900341002.95687","2108748545.71595","2542674036.50496","2848173164.90274","2375026868.65321","2831735680.93573","4020048320.887","4438590547.97531","",
"Heavily indebted poor countries (HIPC)","HPC","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51068598132.8274","63193932775.8102","73503564396.7382","92101556649.8891","82415898572.7504","101597095443.109","","","",
"Croatia","HRV","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8868594407.76806","10507375206.6109","12457818579.8379","14222422929.9381","10580228126.3409","11914102427.9457","13452780220.2992","12448952824.4872","",
