Country Code,Import Partner,value
SAU,JPN,5.6
SAU,IND,4.9
SAU,ITA,4.1
KNA,DZA,60.4
KNA,USA,14.3
KNA,TTO,7.8
SYC,SAU,23.9
SYC,ESP,8.3
SYC,FRA,5.8
SYC,ZAF,5
SYC,SGP,4.1
ZAF,CHN,14.3
ZAF,DEU,10.7
ZAF,USA,8
ZAF,JPN,4.7
ZAF,SAU,4.5
ZAF,IND,4
ZAF,GBR,4
SEN,FRA,16.7
SEN,CHN,9.6
SEN,GBR,8.4
SEN,NGA,8.3
SEN,NLD,5.8
SEN,USA,4.8
SVN,DEU,16.4
SVN,ITA,16
SVN,AUT,10.2
SVN,HRV,4.5
SVN,FRA,4.1
SVN,CHN,4.1
SLE,CHN,16
SLE,ZAF,11.1
SLE,USA,7.3
SLE,GBR,7.1
SLE,IND,5.7
SLE,MYS,4.3
SGP,USA,10.8
SGP,MYS,10.7
SGP,CHN,10.4
SGP,JPN,7.2
SGP,KOR,5.9
SGP,IDN,5.3
SGP,SAU,4.8
SOM,DJI,26.6
SOM,IND,13.6
SOM,KEN,6.9
SOM,PAK,6.3
SOM,CHN,6.1
SOM,EGY,4.8
SOM,OMN,4.8
SOM,UAE,4.6
SOM,YEM,4.3
ESP,DEU,13
ESP,FRA,11.8
ESP,ITA,6.7
ESP,CHN,5.8
ESP,NLD,5
ESP,GBR,4.5
LCA,BRA,78.8
LCA,USA,8.4
LCA,TTO,5.1
SDN,UAE,10.1
SDN,SAU,6.9
SDN,IND,6.7
SDN,EGY,5.8
SDN,DEU,4.8
SWE,DEU,18.1
SWE,DNK,8
SWE,NOR,7.7
SWE,NLD,5.9
SWE,GBR,5.8
SWE,RUS,5.6
SWE,FIN,5.3
SWE,CHN,4.6
SWE,FRA,4.5
SYR,SAU,14.8
SYR,CHN,10.3
SYR,UAE,7.3
SYR,TUR,6.8
SYR,IRN,5.4
SYR,ITA,5.1
SYR,RUS,4.6
SYR,IRQ,4.4
CHE,DEU,32.3
CHE,ITA,10.4
CHE,FRA,8.6
CHE,USA,5
CHE,NLD,4.4
CHE,AUT,4.3
TTO,USA,32.8
TTO,BRA,10.7
TTO,RUS,6.2
TTO,GAB,5.7
TTO,CAN,5.1
TTO,CHN,4.2
THA,JPN,18.4
THA,CHN,13.4
THA,UAE,6.3
THA,USA,5.9
THA,MYS,5.4
THA,KOR,4
TJK,CHN,45.9
TJK,RUS,16.4
TJK,KAZ,6.8
TJK,USA,4.1
TON,FJI,36.7
TON,NZL,24.9
TON,USA,10.5
TON,CHN,7.2
TGO,CHN,32.5
TGO,FRA,8.7
TGO,BEL,7.9
TGO,IND,6.2
TGO,USA,5.1
TGO,GBR,4.6
STP,PRT,63.8
STP,USA,6
STP,GAB,4.7
STP,FRA,4
TUN,FRA,21.1
TUN,ITA,17.6
TUN,DEU,8.9
TUN,ESP,5
TUN,CHN,4.7
TUN,RUS,4.5
TUR,RUS,9.9
TUR,DEU,9.5
TUR,CHN,9
TUR,USA,6.7
TUR,ITA,5.6
TUR,IRN,5.2
TKM,TUR,21
TKM,RUS,14
TKM,CHN,11.1
TKM,UAE,7.9
TKM,DEU,5.8
TZA,IND,18.8
TZA,CHN,17.4
TZA,ZAF,6
TZA,KEN,5.9
TZA,UAE,4.7
UGA,KEN,14.9
UGA,UAE,14
UGA,IND,11.1
UGA,CHN,9.3
UGA,ZAF,5.6
UGA,JPN,4.4
GBR,DEU,12.5
GBR,CHN,8.2
GBR,NLD,7.1
GBR,USA,7
GBR,FRA,5.7
GBR,BEL,4.8
GBR,NOR,4.7
UKR,RUS,30.5
UKR,DEU,9
UKR,CHN,8.9
UKR,BLR,5.5
UKR,POL,5.3
USA,CHN,18.4
USA,CAN,14.2
USA,MEX,11.7
USA,JPN,5.8
USA,DEU,4.4
BFA,CIV,16.7
BFA,FRA,15.2
BFA,GHA,5
BFA,TGO,4.7
BFA,BEL,4.2
URY,BRA,16.3
URY,CHN,15
URY,ARG,13.4
URY,USA,9.4
URY,PRY,7.1
URY,VEN,6.7
UZB,RUS,21.4
UZB,KOR,19.1
UZB,CHN,15.1
UZB,DEU,7.4
UZB,KAZ,5.6
VCT,SGP,24.9
VCT,TTO,17.6
VCT,USA,12.6
VCT,CHN,12.3
VCT,NOR,7.5
VEN,USA,28.6
VEN,CHN,15.1
VEN,BRA,10.6
WSM,NZL,23.9
WSM,FJI,17.1
WSM,SGP,15.4
WSM,CHN,8.4
WSM,JPN,8.1
WSM,AUS,6.7
WSM,USA,5.3
YEM,UAE,18.8
YEM,CHN,11.8
YEM,SAU,8.9
YEM,KWT,6.6
YEM,IND,6.5
YEM,FRA,4.7
YEM,USA,4.2
ZMB,ZAF,36.7
ZMB,COG,20.6
ZMB,CHN,10
ZMB,KWT,5.9
ZWE,ZAF,55.4
ZWE,CHN,9.2
