Country Name,Country Code,Indicator Name,Indicator Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Estonia,EST,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7160204121,8308261508,9926326331,11340870200,7755773096,10242916330,14596112330,14479525678,
Ethiopia,ETH,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917349757.4,1055546060,1350794630,1718581217,1694678621,2479500108,3029022039,3257974059,
Finland,FIN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70074691256,81823041348,98194131162,1.04809E+11,69941349067,75064564626,82756347792,76452764606,
Fiji,FJI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588189499.8,569304771.1,634910589.4,801463169.7,565553621.7,770618486.1,,,
France,FRA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3683E+11,4.8211E+11,5.42891E+11,6.00592E+11,4.78933E+11,5.15837E+11,5.92921E+11,5.67352E+11,
Faeroe Islands,FRO,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603271415.6,650545533.6,745177953.9,852401883.2,765685711.2,835113982.8,1005991138,,
"Micronesia, Fed. Sts.",FSM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5456881215,,,,,,,,
United Kingdom,GBR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84318E+11,4.47589E+11,4.42279E+11,4.68139E+11,3.5635E+11,4.10891E+11,4.79149E+11,4.74616E+11,
Georgia,GEO,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1413899873,1586400631,2055612536,2387584323,1853711316,2393250865,3222953097,3459098760,
Ghana,GHA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2802195812,3726674820,4172139004,5269730513,5839700000,7960080000,12785410000,13543400000,
Guinea,GIN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842810000,1032580000,1203200000,1342010000,1049720000,1471170000,1428350000,1927590000,
"Gambia, The",GMB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104324892.1,108864032.6,134326682.9,205501524.2,174206723.2,139924085,162140063,182460751.7,
Guinea-Bissau,GNB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89618682.46,74139860.91,107035375.4,128129358.2,121642667.6,126595818.6,,,
Equatorial Guinea,GNQ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17468864750,20130051076,23751941163,28865690787,21062182624,22410343354,27954406835,28088069155,
Grenada,GRD,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32865137.04,32285492.59,40732086.67,40466671.85,35292697.41,31126358.52,34949094.07,40472594.07,
Greenland,GRL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5459500000,6082100000,6983200000,7846400000,7294900000,8535700000,10518668000,10107045000,
