Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Czech Republic,CZE,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63700198355,77047288117,98004895476,1.16E+11,89619620810,1.06E+11,1.25E+11,1.19E+11,
Germany,DEU,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.42E+11,8.84E+11,1.03E+12,1.18E+12,9.38E+11,1.07E+12,1.29E+12,1.22E+12,
Djibouti,DJI,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277316693,335717219.7,473230513,574135864.6,450712071.2,373889410.9,510581191.9,538141243.9,
Dominica,DMA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145931881.9,146868561.1,172344386.3,217377036.3,198225145.6,196921632.2,198936543.7,182707547.4,
Denmark,DNK,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75152574718,87683928925,1.00E+11,1.14E+11,82126261185,85357691538,1.00E+11,96767330193,
Dominican Republic,DOM,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7366300000,9558800000,11097300000,13564000000,9946100000,13025300000,14537300000,14965500000,
Algeria,DZA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19817000000,20520000000,26376000000,38013000000,37388000000,38792000000,46800967102,51508891624,
Ecuador,ECU,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9703350172,11401685522,13041130432,17906102793,14262445547,19635073726,23236626769,24578659472,
"Egypt, Arab Rep.",EGY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23818200000,28983500000,39354300000,49607900000,39906900000,45144500000,47311500000,52350400000,
Eritrea,ERI,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78E+11,3.21E+11,3.84E+11,4.06E+11,2.83E+11,3.17E+11,3.62E+11,3.24E+11,
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9045851216,11133853990,13491692066,14147085806,8694161128,10730459221,15340547960,15680877363,
Ethiopia,ETH,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3700858390,4105569045,5155645100,7206330459,6819049914,7364532216,8328868376,10547290512,
Finland,FIN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55294541556,64493654429,75812495649,85590685630,57211791100,64674942798,79264981678,72841409022,
Fiji,FJI,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1365305895,1555604302,1575550704,1983639432,1245928140,1543204075,,,
France,FRA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.57E+11,5.12E+11,5.90E+11,6.75E+11,5.29E+11,5.79E+11,6.86E+11,6.43E+11,
Faeroe Islands,FRO,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678903959.5,751436163.5,970728759.7,942009474.6,752625065.2,744694411.6,949025029,,
"Micronesia, Fed. Sts.",FSM,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1358849837,,,,,,,,
United Kingdom,GBR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09E+11,5.88E+11,6.22E+11,6.42E+11,4.85E+11,5.63E+11,6.40E+11,6.46E+11,
Georgia,GEO,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2631405483,3642934227,4944364569,6224462553,4270445004,5021340415,6722567598,7685207566,
Ghana,GHA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5347309681,6753675316,8066114752,10268499316,8046260000,10922100000,15842660000,17763200000,
Guinea,GIN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739500000,950640000,1206440000,1364230000,1054510000,1398490000,2097100000,2243980000,
"Gambia, The",GMB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222607885.1,222215138.2,279566039.1,274553148.3,259958864.7,245762740.7,295598014.7,358842723.1,
Guinea-Bissau,GNB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105928482.6,127045814.7,167903353.5,198785072.1,202324806.7,196566338.4,,,
Equatorial Guinea,GNQ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51704534766,64163501805,80677510328,93758455912,63918836593,59962359081,65838055714,53369157258,
Grenada,GRD,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299962963,297085185.2,327889434.1,338763281.5,262877427,284416523,290393294.4,297022462.2,
Greenland,GRL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9650100000,10934400000,12470200000,13421200000,10643100000,12806400000,15482144000,15838097300,
Guam,GUM,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717080000,809757000,977566000,1323612479,1179398355,1313726060,1770522516,1977676710,
"Hong Kong SAR, China",HKG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.44E+11,2.73E+11,3.03E+11,3.29E+11,3.03E+11,3.86E+11,4.45E+11,4.87E+11,
Honduras,HND,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4468269511,5218277666,6706488213,8208650858,5845153889,6605737887,8355941673,8808225540,
Croatia,HRV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18253900900,21080118433,25484384032,30002312151,20665631774,19583756818,22126388140,20311256085,
Haiti,HTI,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1308510000,1548200000,1704200000,2107740000,2032130000,2810060000,3014010000,2679340000,
Hungary,HUN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61106044647,72673256555,89971630982,1.04E+11,73809292965,83875820473,95202442011,87369086875,
Indonesia,IDN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64071493159,66053108339,76775450000,1.08E+11,80979004083,1.19E+11,1.57E+11,1.79E+11,
Isle of Man,IMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35E+11,1.67E+11,2.09E+11,2.92E+11,2.48E+11,3.24E+11,4.28E+11,4.50E+11,
Ireland,IRL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67729632462,73074969933,88121565976,84326203251,62767987136,62124255714,67194793781,63627892427,
"Iran, Islamic Rep.",IRN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,IRQ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20002200000,18707500000,16622500000,29761400000,35284800000,37328000000,40633000000,50155000000,
Iceland,ISL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4589612384,5716250486,6178565826,5699012654,3317847863,3620127125,4505887906,4440434907,
Israel,ISR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43887100000,47346600000,55998400000,64422700000,46072300000,58367300000,72482100000,71665500000,
Italy,ITA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.58E+11,4.15E+11,4.77E+11,5.28E+11,3.88E+11,4.57E+11,5.24E+11,4.54E+11,
Jamaica,JAM,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4245511575,5077027291,6203893770,7546787549,4475657390,4629377587,5881414416,5904741745,
Jordan,JOR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9317348378,10260225670,12183220480,15101975594,12641140845,13822577465,16825638028,18430897183,
Japan,JPN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.64E+11,5.24E+11,5.60E+11,6.94E+11,4.90E+11,6.27E+11,7.94E+11,8.30E+11,
Kazakhstan,KAZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17953200842,24069667025,33121879083,38352196454,28919473389,32891499209,40704607456,47359303428,
Kenya,KEN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5586540336,6752090872,8368727954,10635635252,9461215788,11442207340,14162062218,15472418334,
Kyrgyz Republic,KGZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1105543204,1792449196,2613619104,3753530151,2813607242,2980895696,3935939016,4966521973,
Cambodia,KHM,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3918271202,4771236223,4515901539,5076687162,4489908633,5465970991,6709533972,7964914472,
Kiribati,KIR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,KNA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185212585.2,219574230.7,242953829.6,311912635.6,265692834.1,252676000.7,239335565.9,225613320,
"Korea, Rep.",KOR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57E+11,3.05E+11,3.52E+11,4.29E+11,3.20E+11,4.21E+11,5.20E+11,5.14E+11,
Kosovo,KSV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1422722301,1583479398,2075367377,2714773914,2549227753,2695601734,3289140833,2990274137,
Kuwait,KWT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15053424658,16240131320,19962073760,22939171474,18528664731,19361116811,22079760513,22464342127,
